Testcase No,Assumptions,Testcase Criteria,Testcase Steps,Expected Result,TestData,Actual Result,Testcase Result,https://harmony-sourcing.ktinformatik.com/
Admin,Admin portal is accessible,Admin Login with valid credentials,"1. Go to admin login page
2. Enter valid username and password
3. Click Login",Admin is redirected to Dashboard,"username=admin, password=",,Pass/Fail,
,Admin portal is accessible,Admin Login with invalid credentials,"1. Go to admin login page
2. Enter invalid username or password
3. Click Login",Error message 'Invalid credentials' is displayed,"username=wrong, password=",,Pass/Fail,
,Admin is logged in,Add new product,"1. Login as Admin
2. Navigate to Products section
3. Click 'Add Product'
4. Fill product details
5. Save",Product is added successfully and visible in product list,,,Pass/Fail,
Home,Website is accessible,Visit Home Page,"1. Open browser
2. Navigate to website home page","Home page loads successfully with header, footer, and main sections","Expected Elements: Header, Footer, Navigation Menu, Banner, Featured Products",,Pass/Fail,
Products,Website is accessible,Navigate to Products Page,"1. Open browser
2. Navigate to Products page",Products list is displayed with categories and filters,"Expected Elements: Product categories, Product images, Product names, Prices, Filters",0,,
Team Management,User has valid admin account,Open Team Members page,Login ? Navigate to /admin/team-members,Team members list is displayed,Admin credentials,,Pass/Fail,
,User is on Team Members page,Add new member,Click “Add” ? Enter details ? Save,New member appears in list,"Name, Email, Role",,Pass/Fail,
,At least one member exists,Edit/Delete member,Select a member ? Edit details or Delete ? Confirm,Changes saved OR member removed,Existing member data,,Pass/Fail,
,User is on Team Members page,Search/Filter members,Enter keyword in search box OR apply filter,Matching members are displayed,Member name / Role,,Pass/Fail,
,User is logged out,Unauthorized access,Log out ? Visit /admin/team-members directly,Redirected to login / Access denied,N/A,,Pass/Fail,
Product Category ,User has valid access to the categories section,Access Categories Page,1. Login as Admin                                                                                                                                                                      2. Navigate to Categories page,Categories page loads successfully with a list of existing categories,N/A,,Pass/Fail,
,User is on the Categories page,Add New Category,1. Click 'Add Category'                                                                                                                                                           2. Enter category name                                                                                                                                                            3. Click 'Save',New category is added and appears in the categories list,Category Name: 'Sustainable Fabrics',,Pass/Fail,
,At least one category is available in the system,Edit Category,1. Select a category                                                                                                                                                               2. Click 'Edit'                                                                                                                                                                                            3 . Modify category details                                                                                                                                                                   4. Click 'Save',Category details are updated successfully,New Name: 'Organic Cotton',,Pass/Fail,
,At least one category exists in the system,Delete Category,1. Select a category2. Click 'Delete'3. Confirm deletion,Category is removed from the categories list,N/A,,Pass/Fail,
,User is on the Categories page,Search Category,1. Enter search term in the search bar2. Press 'Enter',Categories matching the search term are displayed,Search Term: 'Recycled Polyester',,Pass/Fail,
,Admin is on Categories page,Filter Categories,1. Apply a filter from the filter options2. View filtered categories,Categories are displayed according to the selected filter,Filter: 'Active',,Pass/Fail,
Product Management,User has valid access to the products page,Access Products Page,1. Login with valid credentials2. Navigate to Products page,Products page loads successfully with a list of existing products,N/A,,Pass/Fail,
,User is on the Products page,Add New Product,1. Click 'Add Product'2. Enter product details3. Click 'Save',New product is added and appears in the products list,Product Name: 'Eco-Friendly T-Shirt',,Pass/Fail,
,At least one product exists,Edit Product,1. Select a product2. Click 'Edit'3. Modify product details4. Click 'Save',Product details are updated successfully,New Name: 'Organic Cotton Hoodie',,Pass/Fail,
,At least one product exists,Delete Product,1. Select a product2. Click 'Delete'3. Confirm deletion,Product is removed from the products list,N/A,,Pass/Fail,
,User is on the Products page,Search Product,1. Enter search term in the search bar2. Press 'Enter',Products matching the search term are displayed,Search Term: 'Recycled Polyester',,Pass/Fail,
,User is on the Products page,Filter Products,1. Apply a filter from the filter options2. View filtered products,Products are displayed according to the selected filter,Filter: 'Active',,Pass/Fail,
